city,state,pop,lat,lon
Lubbock,TX,"266,878",33.57,-101.8
Toledo,OH,"265,304",41.66,-83.58
St. Petersburg,FL,"263,553",27.77,-82.64
Laredo,TX,"257,602",27.56,-99.49
Irving,TX,"254,373",32.86,-96.97
Chesapeake,VA,"253,886",36.68,-76.3
Glendale,AZ,"253,855",33.53,-112.1
Winston-Salem,NC,"252,975",36.1,-80.26
Port St. Lucie,FL,"245,021",27.28,-80.39
Scottsdale,AZ,"244,394",33.68,-111.8
Garland,TX,"243,470",32.91,-96.63
Boise,ID,"235,421",43.6,-116.2
Norfolk,VA,"230,930",36.92,-76.24
Spokane,WA,"229,447",47.67,-117.4
Richmond,VA,"229,247",37.53,-77.48
Fremont,CA,"226,208",37.49,-121.9
Huntsville,AL,"225,564",34.78,-86.53
Frisco,TX,"225,007",33.16,-96.82
Cape Coral,FL,"224,455",26.65,-81.99
Santa Clarita,CA,"224,028",34.41,-118.4
San Bernardino,CA,"223,728",34.14,-117.2
Tacoma,WA,"222,906",47.25,-122.4
Hialeah,FL,"221,300",25.87,-80.3
Baton Rouge,LA,"219,573",30.44,-91.13
Modesto,CA,"218,915",37.64,-121.0
Fontana,CA,"215,465",34.11,-117.4
McKinney,TX,"213,509",33.2,-96.66
Moreno Valley,CA,"212,392",33.92,-117.2
Des Moines,IA,"210,381",41.57,-93.61
Fayetteville,NC,"209,749",35.08,-78.97
Salt Lake City,UT,"209,593",40.78,-111.9
Yonkers,NY,"207,657",40.95,-73.87
Worcester,MA,"207,621",42.27,-71.81
Rochester,NY,"207,274",43.17,-77.62
Sioux Falls,SD,"206,410",43.54,-96.73
Little Rock,AR,"203,842",34.72,-92.36
Amarillo,TX,"202,408",35.2,-101.8
Tallahassee,FL,"202,221",30.46,-84.25
Grand Prairie,TX,"202,134",32.69,-97.02
Columbus,GA,"201,877",32.51,-84.87
Augusta,GA,"200,884",33.37,-82.07
Peoria,AZ,"198,750",33.79,-112.3
Oxnard,CA,"198,488",34.2,-119.2
Knoxville,TN,"198,162",35.97,-83.95
Overland Park,KS,"197,089",38.89,-94.69
Birmingham,AL,"196,644",33.53,-86.8
Grand Rapids,MI,"196,608",42.96,-85.66
Vancouver,WA,"196,442",45.64,-122.6
Montgomery,AL,"195,287",32.35,-86.27
Huntington Beach,CA,"192,129",33.7,-118.0
Providence,RI,"190,792",41.82,-71.42
Brownsville,TX,"190,158",26.0,-97.45
Tempe,AZ,"189,834",33.39,-111.9
Akron,OH,"188,701",41.08,-81.52
Glendale,CA,"187,050",34.18,-118.2
Chattanooga,TN,"187,030",35.07,-85.25
Fort Lauderdale,FL,"184,255",26.14,-80.15
Newport News,VA,"183,118",37.08,-76.52
Mobile,AL,"182,595",30.67,-88.1
Ontario,CA,"182,457",34.04,-117.6
Clarksville,TN,"180,716",36.57,-87.35
Cary,NC,"180,010",35.78,-78.82
Elk Grove,CA,"178,444",38.41,-121.3
Shreveport,LA,"177,959",32.47,-93.79
Eugene,OR,"177,899",44.06,-123.1
Aurora,IL,"177,563",41.76,-88.29
Salem,OR,"177,432",44.92,-123.0
Santa Rosa,CA,"175,845",38.45,-122.7
Rancho Cucamonga,CA,"174,405",34.12,-117.5
Pembroke Pines,FL,"171,119",26.01,-80.34
Fort Collins,CO,"170,376",40.55,-105.0
Springfield,MO,"170,188",37.19,-93.29
Oceanside,CA,"170,020",33.22,-117.3
Garden Grove,CA,"168,234",33.78,-117.9
Lancaster,CA,"166,236",34.69,-118.1
